Gender,Author,Last Name Author,First Middle,Filename
m,Isaac Johnson,Johnson,Isaac  ,
m,Thomas L. Johnson,Johnson,Thomas L. ,
m,Abraham Johnstone,"Johnstone, Abraham",Abraham  ,
m,Friday Jones,Jones,Friday  ,
m,Thomas H. Jones,Jones,Thomas H. ,
m,John Joseph,Joseph,John  ,
m,John Joyce,Joyce,John  ,
f,Elizabeth Keckley,Keckley,Elizabeth  ,
m,Edmond Kelley,Kelley,Edmond  ,
m,Lunsford Lane,Lane,Lunsford  ,
m,Isaac Lane,Lane,Isaac  ,
m,M. L. Latta,Latta,M. L. ,
m,William Mack Lee,Lee,William Mack ,
f,Hannah Farnham Sawyer Lee,Lee,Hannah Farnham Sawyer ,
f,Sarah R. Levering,Levering,Sarah R. ,neh-johnstone-johnstone.xml
m,John W. Lewis,Lewis,John W.,
m,J. Vance Lewis,Lewis,J. Vance ,
f,Grace Lintner,Litner,Grace  ,
m,J. W. Loguen,Loguen,J. W. ,
m,John Dixon Long,Long,John Dixon ,
m,Nat Love,Love,Nat  ,
m,I. E. Lowery,Lowery,I. E. ,
m,W. Mallory,Mallory,W.  ,
m,Juan Francisco Manzano,Manzano,Juan Francisco ,
m,Elijah P. Marrs,Marrs,Elijah P. ,
m,James Mars,Mars,James  ,
m,Isaac Mason,Mason,Isaac  ,
f,S. J. McCray,McCray,S. J. ,
m,Christopher McPherson,McPherson,Christopher  ,
m,John B. Meachum,"Meachum, John B.",John B. ,
m,Julius Melbourn,Melbourn,Julius  ,
m,Raleigh H. Merritt,Merritt,Raleigh H. ,
m,Joseph Mitchell,Mitchell,Joseph ,
f,Abigail Mott,Mott,Abigail  ,
m,Joseph Mountain,Mountain,Joseph ,
m,Peter Neilson,Neilson,Peter  ,
m,William Cooper Nell,Nell,William Cooper ,
m,Alfred W. Nicholson,Nicholson,Alfred W. ,
m,Robert Norris,Norris,Robert  ,
m,Solomon Northup,Northup,Solomon  ,
m,G. W. Offley,Offley,G. W. ,
m,William O'Neal,O'Neal,William  ,1846
m,William Parker,Parker,William  ,
m,Allen Parker,Parker,Allen  ,
m,Henry Parker,Parker,Henry  ,
f,Leila Amos Pendleton,Pendleton,Leila Amos ,
m,James W. C. Pennington,Pennington,James W. C. ,
m,Daniel H. Peterson,Peterson,Daniel H. ,
