,Biblical Index,Count,value,text,trimmed name
995,Dt 6:6,47,Clement,1908-neh-clement-clement.txt,neh-clement-clement.txt
1019,Dt 6:4,60,Henson58,1858-neh-henson58-henson58.txt,neh-henson58-henson58.txt
1021,Dt 6:6,47,Lintner,1882-neh-lintner-lintner.txt,neh-lintner-lintner.txt
1045,Dt 6:4,60,Said,1873-neh-said-said.txt,neh-said-said.txt
1047,Dt 6:6,47,Henry,1872-neh-henry-henry.txt,neh-henry-henry.txt
1071,Dt 6:4,60,Brown47,1847-neh-brown47-brown47.txt,neh-brown47-brown47.txt
1073,Dt 6:6,47,Brown80,1880-neh-brown80-brown80.txt,neh-brown80-brown80.txt
1097,Dt 6:4,60,Fpn-Brownw-brown,1849-fpn-brownw-brown.txt,fpn-brownw-brown.txt
1099,Dt 6:6,47,Lewisjw,1852-neh-lewisjw-lewisjw.txt,neh-lewisjw-lewisjw.txt
1123,Dt 6:4,60,McPherson,1855-neh-mcpherson-mcpherson.txt,neh-mcpherson-mcpherson.txt
1125,Dt 6:6,47,douglass55,1855-neh-douglass55-douglass55.txt,neh-douglass55-douglass55.txt
1149,Dt 6:4,60,Fjones-jones,1883-neh-fjones-jones.txt,neh-fjones-jones.txt
1151,Dt 6:6,47,douglasslife,1881-neh-douglasslife-douglass.txt,neh-douglasslife-douglass.txt
1175,Dt 6:4,60,Equiano2,1789-neh-equiano2-equiano2.txt,neh-equiano2-equiano2.txt
1177,Dt 6:6,47,Early,1894-neh-early-early.txt,neh-early-early.txt
1201,Dt 6:4,60,Henson49,1849-neh-henson49-henson49.txt,neh-henson49-henson49.txt
1203,Dt 6:6,47,Clarke,1845-neh-clarke-clarke.txt,neh-clarke-clarke.txt
1227,Dt 6:4,60,Greeenw,1853-neh-greenw-greenw.txt,neh-greenw-greenw.txt
1229,Dt 6:6,47,clarkes,1846-neh-clarkes-clarkes.txt,neh-clarkes-clarkes.txt
1253,Dt 6:4,60,Tilmon,1853-neh-tilmon-tilmon.txt,neh-tilmon-tilmon.txt
1255,Dt 6:6,47,Keckley,1868-neh-keckley-keckley.txt,neh-keckley-keckley.txt
1279,Dt 6:4,60,Thatcher ,1834-neh-thatcher-thatcher.txt,neh-thatcher-thatcher.txt
1305,Dt 6:4,60,Stroyer,1879-neh-stroyer-stroyer.txt,neh-stroyer-stroyer.txt
1331,Dt 6:4,60,Ballslavery,1837-neh-ballslavery-ball.txt,neh-ballslavery-ball.txt
1357,Dt 6:4,60,Douglass55,1855-neh-douglass55-douglass55.txt,neh-douglass55-douglass55.txt
1383,Dt 6:4,60,Sancho1,1782-neh-sancho1-sancho1.txt,neh-sancho1-sancho1.txt
1409,Dt 6:4,60,Griswald,1845-neh-griswold-griswold.txt,neh-griswold-griswold.txt
1435,Dt 6:4,60,Brown,#N/A,#N/A
1461,Dt 6:4,60,Leehf,1854-neh-leehf-leehf.txt,neh-leehf-leehf.txt
1487,Dt 6:4,60,Douglass1853,1853-neh-douglass1853-douglass1853.txt,neh-douglass1853-douglass1853.txt
1513,Dt 6:4,60,Beard63,1863-neh-beard63-beard63.txt,neh-beard63-beard63.txt
1539,Dt 6:4,60,Douglass,1845-neh-douglass-douglass.txt,neh-douglass-douglass.txt
1565,Dt 6:4,60,Edwardsj,1852-neh-edwardsj-edwardsj.txt,neh-edwardsj-edwardsj.txt
1591,Dt 6:4,60,Stevens,1856-neh-stevens-stevens.txt,neh-stevens-stevens.txt
